ID,Statement,Question_phi,Question_mistral,Label
6780.json,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved., Has the record Josh Mandel claimed to lie about been independently verified as incorrect and unimproved by reputable sources?,"1. ""What is the current rating of Ohio's investment fund since Josh Mandel's tenure?""",false
9837.json,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it."," What evidence exists to support the claim that Rick Scott took $200,000 from a family for leasing land for drilling and is now attempting to conceal this transaction?","1. ""Did Florida Governor Rick Scott receive $200,000 from the family who leased land for drilling to him before his attempt to hide the transaction?""",half-true
4267.json,On how money from a possible lease of the Ohio Turnpike would be used," ""What are the intended uses of the funds from the potential lease of the Ohio Turnpike?""", What is the specific plan for the allocation of funds from a potential Ohio Turnpike lease?,half-true
1434.json,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.", What was America's budget status at the start of the last decade compared to when the speaker assumed office?,"1. ""What was the US budget surplus or deficit at the beginning of the last decade and what was the projected deficit over the next decade?""",mostly-true
8050.json,"The president has had 1,540 of his nominations confirmed, only four defeated.", Which number of presidential nominations has been confirmed only four times as opposed to the total nominations?,"1. ""How many confirmations and defeats have the president's nominations received in the Senate?""",half-true
2258.json,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East., What evidence supports the claim that U.S. taxpayers are funding Feisal Abdul Rauf's trip to the Middle East?,"1. ""Did the U.S. government fund Feisal Abdul Raufs trip to the Middle East using taxpayer money?""",true
9672.json,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.", What is the total amount paid by Milwaukee County taxpayers to settle the lawsuit involving Sheriff David A. Clarke Jr.'s decision to use untrained corrections officers for lakefront patrol?,"1. ""Did Milwaukee County pay $370,000 to settle a lawsuit over Sheriff David A. Clarke Jr.'s decision to use untrained corrections officers instead of deputies for lakefront patrols?""",barely-true
13380.json,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election., What is the accuracy of the statement that Justice Department policies restrict FBI Director James Comey from discussing details of a federal investigation close to an election?," q: ""Does the Justice Department have policies preventing FBI Director James Comey from discussing details of federal investigations close to elections?""",mostly-true
1419.json,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""", What evidence supports the claim that Democratic presidents have been considerably more effective at creating private-sector jobs than presidents from other parties?,"rah db: ""Have Democratic presidents created more private-sector jobs on average than Republican presidents?""",true
681.json,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq."""," Does Joe Biden's voting record and public statements support the claims that he voted against the first Gulf War, opposed the surge, and wanted to partition Iraq?","1. ""Did Joe Biden really vote against the first Gulf War and oppose the surge in Iraq, advocating for partition?""",true
6693.json,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed., What statement did Rush Limbaugh allegedly make about his preference for the country's fate concerning President Barack Obama's success?,">""Did Rush Limbaugh explicitly state a preference for the country to fail over President Obama's success?""",barely-true
827.json,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president., What statistics indicate a shift in income distribution in America coinciding with George Bush's presidency?,"1. ""What percentage of Americans earned over 21% of the total income in America before George Bush's presidency?""",half-true
1800.json,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""", Does a verifiable source confirm that recruiting by the military occurred daily at Harvard during Kagan's tenure?,"1. ""Did Elizabeth Warren (Kagan) attend Harvard University during specific military recruiting activities?"" (search: ""Elizabeth Warren Harvard military recruiting"")",half-true
7754.json,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%."," What percentage of public school funding in Texas has been cut under Rick Perry's plan, as claimed?", ¿How much has Texas public schools funding been reduced under Rick Perry's plan according to credible sources?,mostly-true
10113.json,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans."," What evidence supports David Perdue's claim to abolish the U.S. Department of Education, and how would this action specifically affect Georgia schools' funds and student loan availability?","1. ""Did David Perdue call for the abolishment of the US Department of Education and what would be the estimated cost for Georgia schools annually?""",half-true
3806.json,The Paul Ryan budget proposal would privatize Medicare., Does the Paul Ryan budget proposal explicitly propose privatizing Medicare?,What does the Paul Ryan budget plan specifically entail regarding Medicare privatization?,mostly-true
6881.json,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court., What statistical data supports the claim that high school students arrested on campus have a twofold decreased likelihood of graduating and a fourfold lower probability of graduating if they have appeared in court?,"1. ""What is the graduation rate difference between high school students who have been arrested and those who haven't, according to recent studies?""",mostly-true
5857.json,The United States imprisons more than any nation in the world., What is the current global ranking of the United States in terms of the number of incarcerated individuals?, What is the country with the highest incarceration rate according to reliable sources?,half-true
11690.json,Says Marco Rubio is the one for an open border., What evidence supports the claim that Marco Rubio advocates for open borders?,Who said Marco Rubio is for an open border?,pants-fire
10570.json,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat."," How did federal spending on education change over 30 years, and how does this correlate with the trend in test scores during the same period?","1. ""Has federal spending on education increased by 375 percent over the last 30 years and remain constant on test scores?"" (search: ""Federal education spending increase % over 30 years test scores steady"")",mostly-true
9881.json,Says cuts to Medicare affect people who have already paid in. We paid for it.," ""Has a recent policy change regarding Medicare benefits acknowledged that recipients have already contributed to their current entitlements?""","1. ""How do recent Medicare cuts impact individuals who have already contributed to the program?""",barely-true
9133.json,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott., What evidence is there to confirm David Alameel's financial support for Republican Party candidates John Cornyn and Greg Abbott?,"1. ""Has Texas Democratic Senator David Alameel publicly announced substantial donations to the Republican Party or specific Republican candidates John Cornyn and Greg Abbott?""",barely-true
4811.json,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.," What percentage of the United States' national GDP is spent on the American healthcare system, and how does this compare internationally?", What is the percentage of the United States national GDP spent on healthcare according to reliable sources?,true
4317.json,Providences port is 200 miles closer to Europe than any other Eastern port., What is the current nearest Eastern port to Providences and how far is it from Europe compared to Providence's port distance to Europe?,"questaione: ""How does the distance of Providence port from Europe compare to that of other Eastern ports?""",false
5627.json,Says you need a photo ID to purchase Sudafed in Texas.," ""Is there a current law mandating a photo ID for purchasing Sudafed in Texas?""","1. ""Does Texas require a photo ID for buying Sudafed at pharmacies?""",true
4812.json,Twenty percent of housing in Portlands Pearl District is affordable., What evidence supports the statement that twenty percent of housing in Portland's Pearl District is affordable?,What is the percentage of affordable housing in Portlands Pearl District according to the latest data?,mostly-true
4327.json,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.", What is the estimated number of jobs at risk of being lost in 2012 if the payroll tax holiday is not extended?,"1. ""How many jobs could be lost in 2012 due to expiration of the payroll tax holiday, according to estimates?""",mostly-true
451.json,Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.," Did Hillary Clinton indeed support NAFTA and permanent China trade trade relations, which led to the loss of thousands of jobs in Pennsylvania?","1. ""Did Hillary Clinton advocate for both NAFTA and permanent China trade, leading to job losses in Pennsylvania?""",half-true
4102.json,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.," ""Do numerous studies demonstrate that right-to-work laws do not generate jobs and economic growth?""","1. ""Do numerous studies indicate that right-to-work laws have no effect on job creation and economic growth?""",half-true
975.json,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.", What is the historical average percentage of the national debt relative to the gross national product?, What is the projected national debt percentage as a proportion of Gross National Product in Obama's budget plan compared to the historical average?,true
13026.json,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on., What evidence supports Hillary Clinton's claim that she was satisfied with the Veterans Affairs scandal handling and believed it was over-exaggerated?," conten=""text/plain"" charset=""UTF-8"" >""did Hillary Clinton downplay the Veterans Affairs scandal in a specific interview or statement?""",barely-true
11772.json,We now have driven (health care) costs down to the lowest theyve been in 50 years.," ""Has there been a confirmed decrease in healthcare costs to the lowest they've been in the last 50 years?""","1. ""What is the current state of healthcare costs compared to the past 50 years?""",false
1486.json,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""", What evidence supports President Barack Obama's claim that the Christmas underwear bomber's act was that of an isolated extremist?, What were President Barack Obama's exact words in response to the Christmas underwear bomber incident in 2009?,half-true
3391.json,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.", What evidence exists showing if Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and claims it didn't do enough to lower taxes?,"1. ""Did Sen. Sherrod Brown admit that his $787 billion stimulus law did not do enough to lower taxes, contrary to his previous criticisms of Republicans on the issue?""",half-true
1226.json,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""", What evidence confirms the top tax rate for individuals was 90 percent during the 1950s?,"1. ""What was the top tax rate in the 1950s for the highest income earners?""",mostly-true
11656.json,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.", What evidence or statistics demonstrate the effectiveness of universal background checks in preventing individuals like the Charleston shooters from receiving firearms?,"1. ""Was the Charleston, SC shooter denied a gun due to a failed universal background check before the shooting?""",mostly-true
240.json,Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier., What percentage of Iraqis reportedly support shooting an American soldier according to a specific source or survey?,"1. ""What percentage of Iraqi people, according to a recent poll, approve of shooting American soldiers?""",barely-true
3197.json,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional., What legal reasoning did the twelve judges use to reject the notion that the health care law was unconstitutional?,"1. ""How many judges actually rejected the notion of unconstitutionality in the legal challenges against the healthcare law?""",false
5297.json,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years., Does Governor Chris Christie's proposal to reduce state income taxes indeed result in the second tax cut favoring the wealthy within a two-year span?,"1. ""Did New Jersey Governor Chris Christie propose a second income tax cut for the rich in the past two years?""",half-true
968.json,Warren (Buffett) still does support me., What evidence or statements confirm Warren Buffett's continued support for the individual mentioned in the headline?,"1. ""Who currently supports Warren Buffett endorsing you?"" (Search for: ""Warren Buffett endorses [Your Name] 2022"")",true
5922.json,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill., Does the search result confirm that George LeMieux was one of two Republicans who voted for President Barack Obama's jobs bill?,"1. ""Did George LeMieux vote for President Barack Obama's jobs bill as one of two Republicans in the Senate?""",true
7108.json,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!," What is the reported number of registered and eligible voters in the Guatemalan community within the specified precinct for the recount, and how does it compare to the number of votes cast?","1. ""Did a specific precinct in the Allen West-Patrick Murphy recount really have 7 registered voters from a Guatemalan community but show 900 votes?""",false
5813.json,"About 230,000 people that were on unemployment when I took office are not on unemployment now.", How many people were reported to have transitioned off unemployment status after the stated time frame?,"1. ""How many people were on unemployment when [speaker's name] took office and how many are currently not on unemployment?""",mostly-true
7884.json,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.", What decision did Kathleen Sebelius make regarding Sarah Murnaghan's lung transplant eligibility?,"1. ""Was Kathleen Sebelius the decision-maker in Sarah Murnaghan's 10-year-old lung transplant case?""",barely-true
2411.json,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants., Has Ron Klein consistently supported legislation granting amnesty to undocumented immigrants?,"1. ""Did Ron Klein consistently vote for amnesty bills in Congress?""",pants-fire
8428.json,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info., What is the current status of local law enforcement's access to the Obamacare Data Hubs' personal information?,"1. ""Has the local law enforcement been granted access to Obamacare Data Hubs for obtaining personal info?""",false
1391.json,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.", What year did the mayor's tenure end if his term resulted in Houston's crime rates dropping to the lowest levels in over 25 years?,"1. ""What is the historical trend of crime rates in Houston during themayor's tenure?""",true
11668.json,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro., Does Barack Obama's Columbia University ID support the claim that he was a foreign student and went by Barry Soetoro?,"1. ""Did Barack Obama use the name Barry Soetoro and identify as a foreign student while attending Columbia University, as stated in the ID mentioned in the headline?""",pants-fire
490.json,"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations."""," How can we verify John McCain's claim about the solution to the housing crisis involving a ""second job"" and skipping vacations, and his statement about Senate richness?","1. ""Is John McCain one of the richest senators in the US Senate?""",barely-true
8489.json,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises."," What evidence is there that Terry McAuliffe aims to increase taxes by $1,700 to fund his unlimited commitments?","1. ""Has Terry McAuliffe proposed a tax increase of $1,700 for an individual in Virginia?""",false
12446.json,"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.", Which data supports the claim about the average salaries of top male and female staff at the Clinton Foundation between 2010-2014?,What is the average salary for male and female staff members at the Clinton Foundation from 2010-2014?,half-true
7233.json,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent."," What statistic supports the claim that since the adoption of the federal Violence Against Women Act in 1994, cases of domestic violence have decreased by 67 percent?","1. ""Has the number of domestic violence cases decreased by 67% since the passing of the Violence Against Women Act in 1994?""",mostly-true
1775.json,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning., What evidence supports the claim that federal law enforcement officers cut off questioning of the Christmas Day underwear bomber after 30 minutes by issuing a Miranda warning?,"迟verso ""Christmas Day underwear bomber Miranda warning investigation timeline"" 是否存在证据显示法要宣言Warning被提前给们发了？ (Is there evidence in the investigation timeline of",half-true
1347.json,On legalizing illegal immigrants., What measures are being proposed to legalize illegal immigrants?,"1. ""Who released a statement or proposal on the legislation of illegally immigrated persons?""",half-true
4649.json,Nearly half of all pregnancies in the U.S. are unintended., What percentage of pregnancies in the U.S. are reported as unintended according to recent statistical data?, What is the percentage of unintended pregnancies in the United States according to the most recent data?,true
534.json,"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt.""", What evidence supports the claim that borrowing Saudi money specifically for Saudi oil has resulted in dependency and debt?,"1. ""Did the US government borrow funds from Saudi Arabia specifically for purchasing oil, leading to dependency and accruing debt?""",half-true
5387.json,"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy."," What is the current listing price range of homes for sale around Oswego Lake that are stated to be under $150,000?","1. ""How many homes around Oswego Lake are currently for sale under $150,000?""",half-true
2248.json,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.", What is the actual number of private sector job losses since the president took office?,"1. ""How many jobs have been lost in the private sector since the president took office, and how many public sector jobs have been gained?""",half-true
2032.json,The top 1 percent pay over half of the entire revenue for this country., What data supports the claim that the top 1 percent of earners receive more than half of the country's total revenue?," Which country does the top 1% pay over half of the entire revenue? (search: ""top 1% revenue percentage country"")",false
10356.json,The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money., What is the exact amount of $816 in saved property tax money over the last four years compared to the previous four years?,"1. ""Did residents save exactly $816 on property taxes over the last four years as stated in the headline?""",barely-true
8385.json,Chris Christie has not increased the taxes on anyone., Does Chris Christie's administration actually increase any individual's taxes?,Secure a reliable source confirming that New Jersey's tax rates have not been raised under Chris Christie's governorship since he took office.,half-true
7386.json,The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S., What organizations or government entities govern the legal entry of agricultural workers into the United States?,"1. ""Is there a legal U.S. system for bring in workers for agriculture and dairies?"" (search: ""legal system for US farmers to bring workers"")",barely-true
3195.json,Says he never said he would keep education funding the same., What did the individual actually say regarding the consistency of education funding?,"Who made the statement about not keeping education funding the same, and what was the original context of the comment?",false
12497.json,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation."," What data supports the claim that since 1978, college tuition nationwide has increased approximately fourfold compared to the rate of inflation?","1. ""What is the percentage increase in college tuition rates compared to inflation from 1978 to present?""",true
13293.json,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare."," ""Does the statement attributed to Sen. Rob Portman regarding the irresponsibility of not cutting Medicare align with official statements or documented positions?""","1. ""Did Senator Rob Portman make the statement 'It would be irresponsible not to cut Medicare'?""",half-true
4893.json,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.", What evidence or studies confirm that most of the DeKalb school construction projects typically stayed within or under budget?, What is the percentage or number of DeKalb school construction projects that consistently came in under or on budget over the past few years?,mostly-true
689.json,(Palin) supported right-wing extremist Pat Buchanan for president in 2000., What evidence exists showing that Sarah Palin endorsed Pat Buchanan for president in 2000?,"1. ""Did Sarah Palin publicly endorse Pat Buchanan for president in 2000?""",false
4896.json,Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes., Did Sen. Sherrod Brown actually vote to block American energy production and increase energy taxes?,"1. ""Did Sen. Sherrod Brown vote against American energy production and for energy tax increases?""",barely-true
9465.json,Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax., What did Jeanne Shaheen vote for that would have resulted in a new national energy tax?,"1. ""Did Jeanne Shaheen vote for a bill proposing a new national energy tax?""",barely-true
7303.json,"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed."," What evidence or statistics show that violence skyrocketed in Washington, D.C. after passing strict gun laws?","1. ""Did Washington D.C. have some of the strictest gun laws in the country before violence increased?""",half-true
6627.json,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans., What evidence confirms that Republicans and Democrats attempted to expand health care to all Americans before Barack Obama's presidency?,"1. ""How many presidents before Barack Obama attempted to expand health care to all Americans, regardless of party affiliation?""",mostly-true
5429.json,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.", What evidence exists to contradict Sen. Glenn Grothman's statement about women's place being solely at home and not in the workplace?,"1. ""Did Wisconsin state Senator Glenn Grothman make the statement: 'I don't believe women belong in the workplace but belong at home, cooking and cleaning and having babies'?""",false
5852.json,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.", What is the calculated impact of allocating $47 billion in revenue over 10 years from the Buffett rule to infrastructure in terms of job creation?,"1. ""How many infrastructure jobs could be created with $47 billion in revenue from the Buffett Rule?""",false
5043.json,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!, What is the correct collective noun for a group of baboons?,"[""Is 'Congress' the correct collective noun for a group of baboons'?""]",pants-fire
599.json,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities., What evidence is there to support the claim that predatory loans in the mortgage system disproportionately targeted African-American and Latino communities?,"1. ""Who specifically did many predatory mortgage loans target according to the speaker mentioned in the headline?""",true
10411.json,"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs."," What evidence supports the claim that starting in December 2007, Texas created 1.4 million jobs while the rest of the country lost 400,000 jobs?","1. ""Were exactly 1.4 million jobs created in Texas from December 2007 to present, while the rest of the country lost 400,000 jobs during the same period?""",mostly-true
3809.json,The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.," How has the health reform legislation passed by Washington last year affected employer costs and in turn, the difficulty of hiring new employees?","1. ""Has the (health reform) legislation passed in Washington last year increased costs for employers significantly enough to make hiring more difficult?""",barely-true
3928.json,"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.", What does the Congressional Budget Office report state about the impact of Obamacare on job numbers?,"1. ""Did the CBO specifically state that Obamacare will result in the loss of 800,000 jobs?""",barely-true
135.json,"Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer.""", What evidence supports that Thompson voted against caps on damages and measures for a fairer legal system?,"1. ""Did Thompson vote against $250,000 damages caps and fairer legal system reforms?""",barely-true
10580.json,Texas this fiscal year will have more money in reserve than the other 49 states combined., What evidence supports the claim that Texas's fiscal reserves this year exceed the combined total of the reserves of the other 49 states?,"1. ""How much does Texas have in reserve compared to the combined total of the other 49 states this fiscal year?""",pants-fire
610.json,On using the Strategic Petroleum Reserve., How has the utilization of the Strategic Petroleum Reserve specifically affected the availability and pricing of petroleum in recent times?," What is the specific action or event related to the Strategic Petroleum Reserve mentioned in the headline? (e.g. ""was tapped"", ""is being proposed to be sold"", ""has been restored"", etc.)",false
7916.json,Immigrants are more fertile.," ""Is there credible evidence suggesting immigrants have higher fertility rates compared to native-born populations?""","What is the accuracy of the statement ""Immigrants are more fertile"" in terms of fertility rates between immigrants and native populations?",mostly-true
1665.json,"The proposed education changes ""will not cut one teacher's pay.""", What evidence confirms that the education changes mentioned will not impact a teacher's salary?,"1. ""Does the proposed education changes guarantee no reduction in teacher salaries?""",mostly-true
1659.json,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006., Does a Google search show the current uninsured rate in Massachusetts is comparable to the year 2006?,"1. ""What is the current number of uninsured people in Massachusetts compared to the number when the mandates were passed in 2006?""",pants-fire
8601.json,Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law., What percentage decrease in firearms homicides has been reported since Texas passed the concealed-gun permit law?,"1. ""Has the number of firearms homicides in Texas decreased by approximately 40% since the concealed-gun permit law was passed?""",mostly-true
8004.json,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.," Does seeing an ultrasound lead to a higher decision rate of not proceeding with an abortion among women seeking one, as indicated by statistics claiming over 90%?",What percentage of women having an abortion change their minds after viewing an ultrasound?,false
4347.json,We spend less on defense today as % of GDP than at any time since Pearl Harbor., What is the current percentage of GDP spent on defense compared to the percentage spent at any time since Pearl Harbor?,"1. ""What is the current defense spending as percentage of GDP compared to historical data since Pearl Harbor?""",pants-fire
256.json,If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago., How much revenue did the U.S. have 10 years ago compared to what would be available if the income tax was abolished today?,what is the estimated revenue the US government would have received from income tax elimination compared to a decade ago?,mostly-true
2750.json,"Says Scott Walker wants to ban common forms of birth control, including the pill."," What evidence supports the claim that Scott Walker wants to ban common forms of birth control, including the pill?","1. ""Does Scott Walker openly support a bill to ban common forms of birth control like the pill?""",half-true
12356.json,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil., What is the accuracy of Jason Kander's support for Obama's plan to bring the remaining suspected terrorists to U.S. soil?,"1. ""Did Jason Kander publicly express support for Barack Obama's plan to bring suspected terrorists to the United States?""",false
5388.json,"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.", What specific actions or events led Shelby County to donate 44 schools to the city of Memphis?,"1. ""Did Shelby County officially transfer ownership of 44 schools to the city of Memphis?""",half-true
9745.json,"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq."," Which credible source confirms that top U.S. intelligence officials informed every member of Congress, including the president, about an imminent serious attack due to threats from Syria and Iraq?","1. ""Who have top U.S. intelligence officials warned about imminent attacks against Congress members, including the president, due to threats from Syria and Iraq?""",half-true
2076.json,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not., What data or reports support the statement that the suburbs have not seen an influx of former Atlanta housing project residents?," What reliably sources support the claim that ""the suburbs have not been inundated with former residents of Atlanta housing projects""?",true
5276.json,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.", What event in July 1996 involved Mitt Romney locating a missing teenage daughter related to a partner at Bain Capital?,"1. ""Did Mitt Romney assist in the search for a partner's missing teenage daughter at Bain Capital in July 1996?""",true
2722.json,Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries., What evidence supports the claim that Mike McIntyre and Nancy Pelosi are responsible for the second consecutive year without cost-of-living increases for Social Security beneficiaries?,"1. ""Did Mike McIntyre and Nancy Pelosi cause the second consecutive year of no cost-of-living adjustment for Social Security beneficiaries?""",barely-true
1171.json,The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it., What evidence is there showing the health care bill grants the government the right to access and transfer bank account funds without a person's knowledge?,"1. ""Does the healthcare bill grant the government the ability to make unauthorized transfers from citizens' bank accounts?""",barely-true
2011.json,There are mechanisms in place to shut down the Internet privately., How can it be confirmed that there are indeed mechanisms in place to privately shut down the Internet?,"1. ""Do governments or organizations have the ability to independently shut down the Internet?""",half-true
8308.json,The American people support defunding Obamacare and oppose shutting down the government.," What percentage of American people currently support defunding Obamacare and oppose shutting down the government, according to a Google search result?","1. ""What percentage of Americans support defunding Obamacare according to recent polls?""
2. ""What is the public opinion on shutting down the government in relation to Obamacare as indicated by recent surveys?""
",barely-true
7217.json,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama., Does the claim that GOP insists on Social Security changes during the fiscal cliff and that these changes are supported by Barack Obama align with verified facts from a quick Google search?,"1. ""Did the GOP deny insisting on changes to Social Security as part of the fiscal cliff discussion, and is President Obama in favor of these changes?""",half-true
2824.json,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun."," What specific clips of President Obama are referred to, stating ""If they bring a knife to the fight, well bring a gun""?","1. ""Did President Obama make the statement 'If they bring a knife to the fight, well bring a gun'?""",true
3730.json,The people of Rhode Island dont want same-sex marriage.," ""Is there a significant public opinion or poll result showing that the majority of Rhode Island residents do not support same-sex marriage?""","1. ""What is the sentiment of the Rhode Island population towards same-sex marriage based on recent polls or surveys?""",pants-fire
3672.json,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit."," Does Paul Ryan's Medicare plan indeed line the pockets of private insurance companies, raise costs for seniors, and fail to reduce the deficit?","1. ""Does Rep. Paul Ryan's Medicare plan increase costs for seniors while enriching private insurance companies and failing to reduce the deficit?""",half-true
6318.json,This year in Congress (Connie Mack IV) has missed almost half of his votes., What percentage of votes has Congressman Connie Mack IV missed this year?,"1. ""How many votes has Connie Mack IV missed in Congress this year?""",barely-true
10198.json,"1/3 of our kids drop out (of high school), cannot go to college or start a career."," ""What percentage of high school students drop out, leading to an inability to attend college or start a career?""",What is the percentage of US students who do not graduate from high school and therefore cannot attend college or begin a career?,barely-true
9960.json,Not even old Gen. Eisenhower saluted military personnel as president., What evidence supports or refutes the claim that General Eisenhower did not salute military personnel during his presidency?,"Question: ""Did General Eisenhower refuse to salute military personnel while serving as President?""",barely-true
3281.json,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.", What specific financial figures demonstrate Wisconsins workers are better off after the governor's cuts compared to their private sector counterparts?,1. What is the predicted amount of perquisite cuts for Wisconsin's governor and how do these figures compare to average perquisites in the private sector?,true
12581.json,"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.", How many people have been able to buy a gun despite being on a list preventing them from flying?,"1. ""How many people on the no-fly list have purchased guns legally in the United States?""",barely-true
9596.json,74 percent of Republicans support the Affordable Care Act., What is the most recent percentage of Republican support for the Affordable Care Act according to reliable sources?, What percentage of Republicans currently support the Affordable Care Act according to recent polls?,false
2143.json,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.", What is the estimated crime cost saving for every $1 spent on afterschool programs according to available data?,"1. ""What is the estimated return on investment for every dollar spent on afterschool programs in terms of crime cost savings?""",half-true
